loc,disea,n,Dvlpd_NLCD06,Forest_NLCD06,Herbaceous_NLCD06,Tract_Frag06,FragPerim06,CWED_DF06,TECI_DF06,CWED_FH06,TECI_FH06,CWED_HD06,TECI_HD06,Pop_den,Median_age,Mean_income,long,lat
0,7,7717,-0.924818532,-0.838833806,2.892957747,-0.145174945,-0.141405047,-0.884517372,-0.964118753,-0.177744252,0.597106002,-0.813029245,-0.50841137,-0.684687503,0.697578991,-0.088572373,-78.826292,38.33999
1,0,7716,1.480578031,-1.143403966,-1.114640244,-0.471177679,-0.400863094,-0.848258193,-0.871306826,-1.184324961,-0.870333367,-0.018105864,1.085271276,0.478107214,-0.726656375,-0.865429692,-76.242733,36.873989
1,1,7709,-0.375231617,0.098749017,1.111929655,3.456942265,3.078608401,0.733130373,0.548671575,1.759038101,0.381132311,0.324445829,0.053404403,-0.169581271,0.153921075,0.5228393,-77.595997,37.589041
1,0,7704,-0.196280385,0.437482443,-0.262861437,0.189522698,0.150979137,0.74031255,1.532345742,-0.227333429,-0.214565151,-0.174919134,0.241744698,-0.417011757,-1.040082247,-0.108729692,-76.417177,37.077479
1,4,7696,0.347872331,-0.233386497,-0.034476766,1.026615872,1.376243164,1.982041961,1.663243456,0.342387097,-0.337654609,0.616606254,0.273563889,0.453319184,-2.577361524,1.138959055,-77.304938,38.831794
1,2,7662,0.193272894,-0.336317406,0.467021852,0.385925162,0.4306994,1.092174981,1.069249769,-0.29343342,-0.560364689,1.018781428,0.962151925,-0.190251848,0.049445785,1.116684016,-77.639403,37.647102
0,2,7638,0.978003425,-1.240721412,0.243479668,-0.041892299,-0.28233243,0.084768417,0.277731121,-1.273595306,-1.225957025,0.714597665,1.303287423,1.347455769,-2.753111749,-1.006777443,-80.419864,37.253136
1,2,7578,0.499736244,-0.362826497,-0.451485098,0.243926345,0.212439348,1.208487695,1.526255978,-0.814200699,-0.778767606,0.662830815,0.8885551,-0.35999713,-0.040104465,-0.443167905,-76.368899,36.782975
0,1,7551,1.181830828,-1.248360913,-0.100603945,-0.157538235,-0.068435451,-0.433173909,-0.620123255,-1.194132336,-1.25589454,1.791022358,1.8799015,1.566765591,-1.320458898,-0.365373345,-77.494071,38.778199
1,11,7538,0.740855814,-0.534058153,-0.431338143,0.596168513,0.441866294,0.70441773,0.921983799,-0.128698683,-0.366047455,0.428486506,0.601927957,0.178443381,-0.98038208,0.359384805,-77.435339,38.767304
1,3,7514,-0.804549289,0.849082427,0.718532347,-0.026814743,-0.053904645,0.077881193,0.51417902,0.999326984,0.728255199,-0.524795537,-0.314783267,-0.558420417,0.661372487,0.371942196,-77.372425,37.64825
0,0,7506,-0.916130486,1.227376888,-0.363621149,-0.532557235,-0.531291511,-0.695464028,-0.371843097,-0.101305767,0.865773822,-0.887980824,-0.683121846,-0.719365983,1.036486117,0.179090818,-79.964097,37.447949
